Transaction [id=2, timeStamp=2021-05-04T14:07:34.695113900, currencyCode=NOK, amount=1200, mode=SELL]
Transaction [id=148, timeStamp=2021-05-04T14:07:34.927596700, currencyCode=CNY, amount=800, mode=BUY]
Transaction [id=150, timeStamp=2021-05-04T14:07:34.928595800, currencyCode=CHF, amount=100, mode=SELL]
Transaction [id=153, timeStamp=2021-05-04T14:07:34.930596100, currencyCode=USD, amount=850, mode=BUY]
Transaction [id=155, timeStamp=2021-05-04T14:07:34.933597, currencyCode=CNY, amount=800, mode=BUY]
Transaction [id=157, timeStamp=2021-05-04T14:07:34.935595600, currencyCode=AUD, amount=450, mode=SELL]
Transaction [id=159, timeStamp=2021-05-04T14:07:34.938595, currencyCode=JPY, amount=2450, mode=SELL]
Transaction [id=161, timeStamp=2021-05-04T14:07:34.941598500, currencyCode=NOK, amount=2300, mode=BUY]
Transaction [id=163, timeStamp=2021-05-04T14:07:34.946597, currencyCode=AUD, amount=2200, mode=BUY]
Transaction [id=165, timeStamp=2021-05-04T14:07:34.947600200, currencyCode=GBP, amount=2100, mode=SELL]
Transaction [id=167, timeStamp=2021-05-04T14:07:34.952600, currencyCode=AUD, amount=1650, mode=BUY]
Transaction [id=169, timeStamp=2021-05-04T14:07:34.955597400, currencyCode=RUB, amount=2300, mode=BUY]
Transaction [id=171, timeStamp=2021-05-04T14:07:34.958597800, currencyCode=AUD, amount=850, mode=BUY]
Transaction [id=173, timeStamp=2021-05-04T14:07:34.961597600, currencyCode=AUD, amount=2100, mode=BUY]
Transaction [id=175, timeStamp=2021-05-04T14:07:34.963598300, currencyCode=DKK, amount=900, mode=SELL]
Transaction [id=177, timeStamp=2021-05-04T14:07:34.965602300, currencyCode=USD, amount=2400, mode=SELL]
Transaction [id=179, timeStamp=2021-05-04T14:07:34.968598800, currencyCode=GBP, amount=1650, mode=BUY]
Transaction [id=181, timeStamp=2021-05-04T14:07:34.972599100, currencyCode=CNY, amount=800, mode=BUY]
Transaction [id=183, timeStamp=2021-05-04T14:07:34.975599700, currencyCode=RUB, amount=450, mode=BUY]
Transaction [id=185, timeStamp=2021-05-04T14:07:34.976599100, currencyCode=CNY, amount=2050, mode=SELL]
Transaction [id=187, timeStamp=2021-05-04T14:07:34.980599900, currencyCode=JPY, amount=1600, mode=BUY]
Transaction [id=191, timeStamp=2021-05-04T14:07:34.981599800, currencyCode=JPY, amount=2150, mode=SELL]
Transaction [id=193, timeStamp=2021-05-04T14:07:34.982599200, currencyCode=RUB, amount=1350, mode=SELL]
Transaction [id=195, timeStamp=2021-05-04T14:07:34.983598700, currencyCode=EUR, amount=2450, mode=SELL]
Transaction [id=197, timeStamp=2021-05-04T14:07:34.984599400, currencyCode=AUD, amount=2200, mode=SELL]
Transaction [id=199, timeStamp=2021-05-04T14:07:34.986600200, currencyCode=GBP, amount=500, mode=BUY]
Transaction [id=201, timeStamp=2021-05-04T14:07:34.987599, currencyCode=DKK, amount=2400, mode=SELL]
Transaction [id=203, timeStamp=2021-05-04T14:07:34.993601300, currencyCode=GBP, amount=700, mode=SELL]
Transaction [id=205, timeStamp=2021-05-04T14:07:34.996600800, currencyCode=GBP, amount=1150, mode=BUY]
Transaction [id=207, timeStamp=2021-05-04T14:07:34.999600100, currencyCode=CHF, amount=1600, mode=BUY]
Transaction [id=209, timeStamp=2021-05-04T14:07:35.001600300, currencyCode=USD, amount=1400, mode=BUY]
Transaction [id=211, timeStamp=2021-05-04T14:07:35.005608600, currencyCode=JPY, amount=100, mode=BUY]
Transaction [id=214, timeStamp=2021-05-04T14:07:35.007603, currencyCode=USD, amount=1100, mode=SELL]
Transaction [id=216, timeStamp=2021-05-04T14:07:35.008602400, currencyCode=RUB, amount=1450, mode=SELL]
Transaction [id=218, timeStamp=2021-05-04T14:07:35.009601600, currencyCode=CHF, amount=1450, mode=SELL]
Transaction [id=220, timeStamp=2021-05-04T14:07:35.011601300, currencyCode=RUB, amount=400, mode=SELL]
Transaction [id=222, timeStamp=2021-05-04T14:07:35.014602700, currencyCode=DKK, amount=1300, mode=BUY]
Transaction [id=224, timeStamp=2021-05-04T14:07:35.018602, currencyCode=NOK, amount=2000, mode=BUY]
Transaction [id=226, timeStamp=2021-05-04T14:07:35.019601900, currencyCode=USD, amount=1050, mode=SELL]
Transaction [id=228, timeStamp=2021-05-04T14:07:35.020604300, currencyCode=DKK, amount=1500, mode=SELL]
Transaction [id=230, timeStamp=2021-05-04T14:07:35.021603700, currencyCode=DKK, amount=2000, mode=SELL]
Transaction [id=232, timeStamp=2021-05-04T14:07:35.023602900, currencyCode=AUD, amount=100, mode=BUY]
Transaction [id=234, timeStamp=2021-05-04T14:07:35.026602400, currencyCode=NOK, amount=1250, mode=BUY]
Transaction [id=236, timeStamp=2021-05-04T14:07:35.027602900, currencyCode=EUR, amount=2150, mode=SELL]
Transaction [id=238, timeStamp=2021-05-04T14:07:35.029602700, currencyCode=CHF, amount=2100, mode=BUY]
Transaction [id=241, timeStamp=2021-05-04T14:07:35.030602300, currencyCode=EUR, amount=2200, mode=SELL]
Transaction [id=243, timeStamp=2021-05-04T14:07:35.032602900, currencyCode=CHF, amount=2400, mode=SELL]
Transaction [id=245, timeStamp=2021-05-04T14:07:35.034602700, currencyCode=JPY, amount=2300, mode=BUY]
Transaction [id=247, timeStamp=2021-05-04T14:07:35.039606300, currencyCode=GBP, amount=1950, mode=BUY]
Transaction [id=249, timeStamp=2021-05-04T14:07:35.042604700, currencyCode=DKK, amount=1350, mode=BUY]
Transaction [id=251, timeStamp=2021-05-04T14:07:35.046604500, currencyCode=CHF, amount=900, mode=BUY]
Transaction [id=253, timeStamp=2021-05-04T14:07:35.048604900, currencyCode=JPY, amount=1550, mode=BUY]
Transaction [id=255, timeStamp=2021-05-04T14:07:35.049604600, currencyCode=CHF, amount=1500, mode=SELL]
Transaction [id=257, timeStamp=2021-05-04T14:07:35.052603700, currencyCode=JPY, amount=2200, mode=BUY]
Transaction [id=259, timeStamp=2021-05-04T14:07:35.055606400, currencyCode=GBP, amount=1800, mode=BUY]
Transaction [id=261, timeStamp=2021-05-04T14:07:35.058604500, currencyCode=CNY, amount=150, mode=BUY]
Transaction [id=263, timeStamp=2021-05-04T14:07:35.061604300, currencyCode=GBP, amount=1850, mode=BUY]
Transaction [id=265, timeStamp=2021-05-04T14:07:35.063608800, currencyCode=GBP, amount=2100, mode=BUY]
Transaction [id=267, timeStamp=2021-05-04T14:07:35.064606200, currencyCode=RUB, amount=900, mode=SELL]
Transaction [id=270, timeStamp=2021-05-04T14:07:35.073606, currencyCode=AUD, amount=2000, mode=BUY]
Transaction [id=272, timeStamp=2021-05-04T14:07:35.074606900, currencyCode=DKK, amount=2050, mode=SELL]
Transaction [id=274, timeStamp=2021-05-04T14:07:35.077607700, currencyCode=DKK, amount=2300, mode=BUY]
Transaction [id=276, timeStamp=2021-05-04T14:07:35.078607600, currencyCode=EUR, amount=2100, mode=SELL]
Transaction [id=278, timeStamp=2021-05-04T14:07:35.081607800, currencyCode=RUB, amount=1550, mode=BUY]
Transaction [id=280, timeStamp=2021-05-04T14:07:35.083606600, currencyCode=USD, amount=1850, mode=SELL]
Transaction [id=282, timeStamp=2021-05-04T14:07:35.084608200, currencyCode=CHF, amount=850, mode=SELL]
Transaction [id=284, timeStamp=2021-05-04T14:07:35.085606700, currencyCode=GBP, amount=1300, mode=SELL]
Transaction [id=286, timeStamp=2021-05-04T14:07:35.086606400, currencyCode=GBP, amount=1450, mode=BUY]
Transaction [id=288, timeStamp=2021-05-04T14:07:35.086606400, currencyCode=JPY, amount=1950, mode=SELL]
Transaction [id=290, timeStamp=2021-05-04T14:07:35.088607600, currencyCode=EUR, amount=1450, mode=BUY]
Transaction [id=292, timeStamp=2021-05-04T14:07:35.088607600, currencyCode=EUR, amount=1550, mode=SELL]
Transaction [id=294, timeStamp=2021-05-04T14:07:35.090606600, currencyCode=AUD, amount=2300, mode=BUY]
Transaction [id=296, timeStamp=2021-05-04T14:07:35.091606700, currencyCode=CHF, amount=1800, mode=BUY]
Transaction [id=298, timeStamp=2021-05-04T14:07:35.092607100, currencyCode=CHF, amount=500, mode=BUY]
Transaction [id=300, timeStamp=2021-05-04T14:07:35.093607200, currencyCode=GBP, amount=200, mode=SELL]
Transaction [id=302, timeStamp=2021-05-04T14:07:35.094607700, currencyCode=AUD, amount=1200, mode=SELL]
Transaction [id=304, timeStamp=2021-05-04T14:07:35.096607800, currencyCode=CNY, amount=1400, mode=BUY]
Transaction [id=306, timeStamp=2021-05-04T14:07:35.097607, currencyCode=GBP, amount=900, mode=SELL]
Transaction [id=308, timeStamp=2021-05-04T14:07:35.098608400, currencyCode=NOK, amount=1200, mode=SELL]
Transaction [id=310, timeStamp=2021-05-04T14:07:35.101609300, currencyCode=DKK, amount=200, mode=BUY]
Transaction [id=312, timeStamp=2021-05-04T14:07:35.102608600, currencyCode=CHF, amount=2350, mode=SELL]
Transaction [id=314, timeStamp=2021-05-04T14:07:35.104613700, currencyCode=GBP, amount=650, mode=SELL]
Transaction [id=317, timeStamp=2021-05-04T14:07:35.107608400, currencyCode=CHF, amount=1350, mode=BUY]
Transaction [id=319, timeStamp=2021-05-04T14:07:35.108609800, currencyCode=JPY, amount=750, mode=SELL]
Transaction [id=321, timeStamp=2021-05-04T14:07:35.108609800, currencyCode=USD, amount=350, mode=SELL]
Transaction [id=323, timeStamp=2021-05-04T14:07:35.109608800, currencyCode=DKK, amount=1750, mode=SELL]
Transaction [id=325, timeStamp=2021-05-04T14:07:35.110609, currencyCode=NOK, amount=1100, mode=BUY]
Transaction [id=327, timeStamp=2021-05-04T14:07:35.111609800, currencyCode=EUR, amount=1700, mode=SELL]
Transaction [id=329, timeStamp=2021-05-04T14:07:35.112609100, currencyCode=EUR, amount=2350, mode=BUY]
Transaction [id=331, timeStamp=2021-05-04T14:07:35.113609500, currencyCode=CHF, amount=350, mode=BUY]
Transaction [id=333, timeStamp=2021-05-04T14:07:35.115611, currencyCode=JPY, amount=1100, mode=SELL]
Transaction [id=335, timeStamp=2021-05-04T14:07:35.117610100, currencyCode=USD, amount=2200, mode=BUY]
Transaction [id=337, timeStamp=2021-05-04T14:07:35.119609500, currencyCode=GBP, amount=1850, mode=BUY]
Transaction [id=339, timeStamp=2021-05-04T14:07:35.124611400, currencyCode=GBP, amount=950, mode=SELL]
Transaction [id=341, timeStamp=2021-05-04T14:07:35.125613700, currencyCode=RUB, amount=150, mode=SELL]
Transaction [id=344, timeStamp=2021-05-04T14:07:35.127609700, currencyCode=AUD, amount=1200, mode=BUY]
Transaction [id=346, timeStamp=2021-05-04T14:07:35.128610600, currencyCode=RUB, amount=350, mode=SELL]
Transaction [id=349, timeStamp=2021-05-04T14:07:35.129610600, currencyCode=CHF, amount=2450, mode=BUY]
Transaction [id=351, timeStamp=2021-05-04T14:07:35.130610300, currencyCode=CNY, amount=650, mode=BUY]
Transaction [id=353, timeStamp=2021-05-04T14:07:35.132610400, currencyCode=NOK, amount=700, mode=BUY]
Transaction [id=355, timeStamp=2021-05-04T14:07:35.134611700, currencyCode=EUR, amount=1600, mode=BUY]
Transaction [id=357, timeStamp=2021-05-04T14:07:35.135611, currencyCode=AUD, amount=1550, mode=SELL]
Transaction [id=359, timeStamp=2021-05-04T14:07:35.135611, currencyCode=DKK, amount=1450, mode=SELL]
Transaction [id=361, timeStamp=2021-05-04T14:07:35.138620100, currencyCode=USD, amount=700, mode=BUY]
Transaction [id=363, timeStamp=2021-05-04T14:07:35.139611500, currencyCode=RUB, amount=350, mode=SELL]
Transaction [id=365, timeStamp=2021-05-04T14:07:35.140611900, currencyCode=JPY, amount=900, mode=SELL]
Transaction [id=367, timeStamp=2021-05-04T14:07:35.141611700, currencyCode=GBP, amount=1650, mode=BUY]
Transaction [id=370, timeStamp=2021-05-04T14:07:35.143612700, currencyCode=RUB, amount=1900, mode=BUY]
Transaction [id=373, timeStamp=2021-05-04T14:07:35.147613300, currencyCode=RUB, amount=250, mode=BUY]
Transaction [id=375, timeStamp=2021-05-04T14:07:35.148612400, currencyCode=JPY, amount=1650, mode=SELL]
Transaction [id=378, timeStamp=2021-05-04T14:07:35.150612, currencyCode=CHF, amount=500, mode=SELL]
Transaction [id=380, timeStamp=2021-05-04T14:07:35.153612, currencyCode=JPY, amount=1400, mode=BUY]
Transaction [id=382, timeStamp=2021-05-04T14:07:35.154611900, currencyCode=EUR, amount=1750, mode=SELL]
Transaction [id=384, timeStamp=2021-05-04T14:07:35.155612700, currencyCode=NOK, amount=1700, mode=SELL]
Transaction [id=386, timeStamp=2021-05-04T14:07:35.157611800, currencyCode=JPY, amount=150, mode=BUY]
Transaction [id=388, timeStamp=2021-05-04T14:07:35.157611800, currencyCode=EUR, amount=2100, mode=SELL]
Transaction [id=390, timeStamp=2021-05-04T14:07:35.159612200, currencyCode=CNY, amount=2000, mode=BUY]
Transaction [id=392, timeStamp=2021-05-04T14:07:35.160612500, currencyCode=NOK, amount=600, mode=SELL]
Transaction [id=394, timeStamp=2021-05-04T14:07:35.161612900, currencyCode=CNY, amount=1250, mode=SELL]
Transaction [id=396, timeStamp=2021-05-04T14:07:35.162613800, currencyCode=USD, amount=600, mode=SELL]
Transaction [id=398, timeStamp=2021-05-04T14:07:35.163612600, currencyCode=JPY, amount=1500, mode=SELL]
Transaction [id=400, timeStamp=2021-05-04T14:07:35.163612600, currencyCode=DKK, amount=1900, mode=SELL]
Transaction [id=402, timeStamp=2021-05-04T14:07:35.165614300, currencyCode=CNY, amount=1450, mode=BUY]
Transaction [id=404, timeStamp=2021-05-04T14:07:35.172617600, currencyCode=RUB, amount=1000, mode=SELL]
Transaction [id=406, timeStamp=2021-05-04T14:07:35.175616, currencyCode=RUB, amount=2150, mode=BUY]
Transaction [id=408, timeStamp=2021-05-04T14:07:35.179616200, currencyCode=RUB, amount=2050, mode=BUY]
Transaction [id=410, timeStamp=2021-05-04T14:07:35.182615500, currencyCode=EUR, amount=650, mode=BUY]
Transaction [id=413, timeStamp=2021-05-04T14:07:35.183615600, currencyCode=RUB, amount=2300, mode=SELL]
Transaction [id=415, timeStamp=2021-05-04T14:07:35.185616800, currencyCode=DKK, amount=2100, mode=SELL]
Transaction [id=417, timeStamp=2021-05-04T14:07:35.187614100, currencyCode=GBP, amount=300, mode=BUY]
Transaction [id=419, timeStamp=2021-05-04T14:07:35.188613300, currencyCode=RUB, amount=350, mode=BUY]
Transaction [id=422, timeStamp=2021-05-04T14:07:35.189613600, currencyCode=NOK, amount=1800, mode=BUY]
Transaction [id=424, timeStamp=2021-05-04T14:07:35.190613700, currencyCode=AUD, amount=1650, mode=SELL]
Transaction [id=426, timeStamp=2021-05-04T14:07:35.191614, currencyCode=AUD, amount=500, mode=BUY]
Transaction [id=428, timeStamp=2021-05-04T14:07:35.191614, currencyCode=AUD, amount=1400, mode=SELL]
Transaction [id=430, timeStamp=2021-05-04T14:07:35.192613500, currencyCode=JPY, amount=2300, mode=BUY]
Transaction [id=432, timeStamp=2021-05-04T14:07:35.193613800, currencyCode=EUR, amount=2000, mode=SELL]
Transaction [id=434, timeStamp=2021-05-04T14:07:35.194614500, currencyCode=AUD, amount=1600, mode=BUY]
Transaction [id=436, timeStamp=2021-05-04T14:07:35.195614, currencyCode=NOK, amount=600, mode=BUY]
Transaction [id=438, timeStamp=2021-05-04T14:07:35.195614, currencyCode=RUB, amount=2350, mode=SELL]
Transaction [id=440, timeStamp=2021-05-04T14:07:35.196614300, currencyCode=CHF, amount=550, mode=BUY]
Transaction [id=442, timeStamp=2021-05-04T14:07:35.197614600, currencyCode=EUR, amount=1700, mode=SELL]
Transaction [id=444, timeStamp=2021-05-04T14:07:35.198615500, currencyCode=GBP, amount=200, mode=BUY]
Transaction [id=446, timeStamp=2021-05-04T14:07:35.199614100, currencyCode=USD, amount=2050, mode=BUY]
Transaction [id=448, timeStamp=2021-05-04T14:07:35.200613900, currencyCode=JPY, amount=800, mode=BUY]
Transaction [id=451, timeStamp=2021-05-04T14:07:35.201615300, currencyCode=GBP, amount=1150, mode=SELL]
Transaction [id=453, timeStamp=2021-05-04T14:07:35.201615300, currencyCode=DKK, amount=1300, mode=SELL]
Transaction [id=455, timeStamp=2021-05-04T14:07:35.202614800, currencyCode=EUR, amount=700, mode=SELL]
Transaction [id=457, timeStamp=2021-05-04T14:07:35.205616500, currencyCode=JPY, amount=300, mode=BUY]
Transaction [id=459, timeStamp=2021-05-04T14:07:35.207615100, currencyCode=CNY, amount=300, mode=BUY]
Transaction [id=461, timeStamp=2021-05-04T14:07:35.207615100, currencyCode=DKK, amount=1200, mode=SELL]
Transaction [id=463, timeStamp=2021-05-04T14:07:35.207615100, currencyCode=RUB, amount=300, mode=SELL]
Transaction [id=465, timeStamp=2021-05-04T14:07:35.208615600, currencyCode=USD, amount=700, mode=SELL]
Transaction [id=467, timeStamp=2021-05-04T14:07:35.209616, currencyCode=AUD, amount=2100, mode=BUY]
Transaction [id=470, timeStamp=2021-05-04T14:07:35.217618800, currencyCode=NOK, amount=600, mode=BUY]
Transaction [id=472, timeStamp=2021-05-04T14:07:35.217618800, currencyCode=DKK, amount=800, mode=BUY]
Transaction [id=474, timeStamp=2021-05-04T14:07:35.219617100, currencyCode=DKK, amount=1300, mode=BUY]
Transaction [id=476, timeStamp=2021-05-04T14:07:35.219617100, currencyCode=NOK, amount=200, mode=SELL]
Transaction [id=478, timeStamp=2021-05-04T14:07:35.220615800, currencyCode=NOK, amount=650, mode=BUY]
Transaction [id=480, timeStamp=2021-05-04T14:07:35.221616200, currencyCode=USD, amount=2000, mode=BUY]
Transaction [id=482, timeStamp=2021-05-04T14:07:35.222616300, currencyCode=JPY, amount=350, mode=BUY]
Transaction [id=484, timeStamp=2021-05-04T14:07:35.222616300, currencyCode=AUD, amount=1050, mode=SELL]
Transaction [id=486, timeStamp=2021-05-04T14:07:35.223616700, currencyCode=NOK, amount=1100, mode=BUY]
Transaction [id=488, timeStamp=2021-05-04T14:07:35.225615900, currencyCode=RUB, amount=2050, mode=BUY]
Transaction [id=490, timeStamp=2021-05-04T14:07:35.226616400, currencyCode=GBP, amount=1900, mode=BUY]
Transaction [id=493, timeStamp=2021-05-04T14:07:35.227616700, currencyCode=NOK, amount=1650, mode=SELL]
Transaction [id=496, timeStamp=2021-05-04T14:07:35.227616700, currencyCode=NOK, amount=2050, mode=SELL]
Transaction [id=498, timeStamp=2021-05-04T14:07:35.229617200, currencyCode=CNY, amount=1800, mode=BUY]
Transaction [id=500, timeStamp=2021-05-04T14:07:35.229617200, currencyCode=AUD, amount=300, mode=SELL]
Transaction [id=502, timeStamp=2021-05-04T14:07:35.230617600, currencyCode=RUB, amount=2100, mode=BUY]
Transaction [id=504, timeStamp=2021-05-04T14:07:35.231618, currencyCode=DKK, amount=1000, mode=SELL]
Transaction [id=507, timeStamp=2021-05-04T14:07:35.232619, currencyCode=NOK, amount=2150, mode=SELL]
Transaction [id=509, timeStamp=2021-05-04T14:07:35.233618, currencyCode=RUB, amount=300, mode=SELL]
Transaction [id=511, timeStamp=2021-05-04T14:07:35.233618, currencyCode=EUR, amount=1450, mode=SELL]
Transaction [id=513, timeStamp=2021-05-04T14:07:35.237626600, currencyCode=EUR, amount=100, mode=BUY]
Transaction [id=515, timeStamp=2021-05-04T14:07:35.239618100, currencyCode=NOK, amount=500, mode=BUY]
Transaction [id=518, timeStamp=2021-05-04T14:07:35.240617800, currencyCode=DKK, amount=400, mode=BUY]
Transaction [id=520, timeStamp=2021-05-04T14:07:35.241618200, currencyCode=AUD, amount=1350, mode=BUY]
Transaction [id=522, timeStamp=2021-05-04T14:07:35.243618600, currencyCode=EUR, amount=500, mode=BUY]
Transaction [id=524, timeStamp=2021-05-04T14:07:35.244618400, currencyCode=CNY, amount=600, mode=BUY]
Transaction [id=526, timeStamp=2021-05-04T14:07:35.245618900, currencyCode=EUR, amount=1600, mode=BUY]
Transaction [id=528, timeStamp=2021-05-04T14:07:35.246619, currencyCode=NOK, amount=1150, mode=BUY]
